0	20
1000	-66
2000	-130
3000	-122
4000	-122
5000	-162
6000	-140
7000	-160
8000	-134
9000	-164
10000	-106
11000	-58
12000	-14
13000	12
14000	-50
15000	-64
16000	-56
17000	-22
18000	-74
19000	-60
20000	-106
21000	-50
22000	-92
23000	-128
24000	-100
25000	-68
26000	-88
27000	-186
28000	-188
29000	-240
30000	-268
31000	-234
32000	-300
33000	-268
34000	-314
35000	-282
36000	-226
37000	-206
38000	-146
39000	-100
40000	-146
41000	-120
42000	-144
43000	-138
44000	-126
45000	-130
46000	-156
47000	-168
48000	-240
49000	-222
